broad_field,major_field,field,year,n_phds
Life sciences,Biological and biomedical sciences,Parasitology,2008,23.0
Life sciences,Biological and biomedical sciences,"Pathology, human and animal",2008,105.0
Life sciences,Biological and biomedical sciences,"Pharmacology, human and animal",2008,281.0
Life sciences,Biological and biomedical sciences,"Physiology, human and animal",2008,241.0
Life sciences,Biological and biomedical sciences,Plant genetics,2008,47.0
Life sciences,Biological and biomedical sciences,Plant pathology and phytopathology (biological sciences),2008,29.0
Life sciences,Biological and biomedical sciences,Plant physiology,2008,26.0
Life sciences,Biological and biomedical sciences,Structural biology,2008,165.90491591203104
Life sciences,Biological and biomedical sciences,Toxicology,2008,137.0
Life sciences,Biological and biomedical sciences,Virology,2008,165.90491591203104
Life sciences,Biological and biomedical sciences,Wildlife biology,2008,165.90491591203104
Life sciences,Biological and biomedical sciences,Zoology,2008,61.0
Life sciences,Biological and biomedical sciences,"Biological and biomedical sciences, general",2008,150.0
Life sciences,Biological and biomedical sciences,"Biological and biomedical sciences, other",2008,82.0
Life sciences,Health sciences,Environmental health,2008,69.0
Life sciences,Health sciences,Environmental toxicologyc,2008,43.0
Life sciences,Health sciences,Gerontology (health sciences),2008,165.90491591203104
Life sciences,Health sciences,Health and behavior,2008,165.90491591203104
Life sciences,Health sciences,Health services research,2008,165.90491591203104
Life sciences,Health sciences,Health systems administration,2008,70.0
Life sciences,Health sciences,"Kinesiology, exercise sciencef",2008,212.0
Life sciences,Health sciences,"Medical physics, radiological science",2008,165.90491591203104
Life sciences,Health sciences,Nursing science,2008,504.0
Life sciences,Health sciences,"Oral biology, oral pathology",2008,165.90491591203104
Life sciences,Health sciences,Pharmaceutical sciencesg,2008,277.0
Life sciences,Health sciences,Public health,2008,229.0
Life sciences,Health sciences,"Rehabilitation, therapeutic services",2008,89.0
Life sciences,Health sciences,Speech-language pathology and audiology,2008,112.0
Life sciences,Health sciences,Veterinary sciences,2008,54.0
Life sciences,Health sciences,"Health sciences, general",2008,31.0
Life sciences,Health sciences,"Health sciences, other",2008,96.0
Life sciences,Chemistry,Analytical chemistry,2008,371.0
Life sciences,Chemistry,Chemical biology,2008,165.90491591203104
Life sciences,Chemistry,Inorganic chemistry,2008,301.0
Life sciences,Chemistry,Medicinal chemistryh,2008,165.90491591203104
Life sciences,Chemistry,Organic chemistry,2008,640.0
Life sciences,Chemistry,Physical chemistry,2008,331.0
Life sciences,Chemistry,Polymer chemistry,2008,106.0
Life sciences,Chemistry,Theoretical chemistry,2008,80.0
Life sciences,Chemistry,"Chemistry, general",2008,271.0
Life sciences,Chemistry,"Chemistry, other",2008,146.0
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,2008,188.0
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric chemistry and climatology,2008,49.0
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric physics and dynamics,2008,59.0
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Meteorology,2008,23.0
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences","Atmospheric science and meteorology, general",2008,40.0
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences","Atmospheric science and meteorology, other",2008,17.0
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,2008,458.0
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geochemistry,2008,78.0
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geology,2008,141.0
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences","Geomorphology, glacial geology",2008,12.0
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geophysics and seismology,2008,116.0
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Mineralogy and petrology,2008,16.0
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Paleontology,2008,26.0
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Stratigraphy and sedimentation,2008,10.0
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences","Geological and earth sciences, general",2008,25.0
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences","Geological and earth sciences, other",2008,34.0
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Ocean and marine sciences,2008,219.0
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Hydrology and water resources,2008,45.0
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Marine biology and biological oceanography,2008,165.90491591203104
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Marine sciences,2008,75.0
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences","Oceanography, chemical and physical",2008,83.0
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences","Ocean and marine sciences, other",2008,16.0
Life sciences,Physics and astronomy,Astronomy and astrophysics,2008,249.0
Life sciences,Physics and astronomy,Astronomy,2008,101.0
Life sciences,Physics and astronomy,Astrophysics,2008,148.0
Life sciences,Physics and astronomy,"Astronomy and astrophysics, other",2008,165.90491591203104
Life sciences,Physics and astronomy,Physics,2008,1586.0
Life sciences,Physics and astronomy,Acoustics,2008,15.0
Life sciences,Physics and astronomy,Applied physics,2008,137.0
Life sciences,Physics and astronomy,"Atomic, molecular, chemical physics",2008,119.0
Life sciences,Physics and astronomy,Biophysics (physics),2008,119.0
Life sciences,Physics and astronomy,"Condensed matter, low-temperature physics",2008,397.0
Life sciences,Physics and astronomy,Elementary particle physics,2008,210.0
Life sciences,Physics and astronomy,Nuclear physics,2008,62.0
Life sciences,Physics and astronomy,"Optics, photonics",2008,148.0
Life sciences,Physics and astronomy,"Plasma, high-temperature physics",2008,59.0
Life sciences,Physics and astronomy,Polymer physics,2008,43.0
Life sciences,Physics and astronomy,"Physics, general",2008,159.0
Life sciences,Physics and astronomy,"Physics, other",2008,118.0
Mathematics and computer sciences,Computer and information sciences,Computer science,2008,1499.0
Mathematics and computer sciences,Computer and information sciences,"Information science, systems",2008,181.0
Mathematics and computer sciences,Computer and information sciences,"Computer and information sciences, general",2008,165.90491591203104
Mathematics and computer sciences,Computer and information sciences,"Computer and information sciences, other",2008,107.0
Mathematics and computer sciences,Mathematics and statistics,Algebra,2008,124.0
Mathematics and computer sciences,Mathematics and statistics,Analysis and functional analysis,2008,112.0
Mathematics and computer sciences,Mathematics and statistics,Applied mathematics,2008,360.0
Mathematics and computer sciences,Mathematics and statistics,Computing theory and practice,2008,26.0
Mathematics and computer sciences,Mathematics and statistics,"Geometry, geometric analysis",2008,100.0
Mathematics and computer sciences,Mathematics and statistics,Logic,2008,25.0
Mathematics and computer sciences,Mathematics and statistics,Number theory,2008,62.0
Mathematics and computer sciences,Mathematics and statistics,Operations research (mathematics),2008,27.0
Mathematics and computer sciences,Mathematics and statistics,Statistics (mathematics),2008,303.0
Mathematics and computer sciences,Mathematics and statistics,Topology and foundations,2008,58.0
Mathematics and computer sciences,Mathematics and statistics,"Mathematics and statistics, general",2008,140.0
Mathematics and computer sciences,Mathematics and statistics,"Mathematics and statistics, other",2008,63.0
Psychology and social sciences,Psychology,Behavioral analysis,2008,165.90491591203104
Psychology and social sciences,Psychology,Clinical psychology,2008,1142.0
Psychology and social sciences,Psychology,Cognitive neuroscience,2008,165.90491591203104
Psychology and social sciences,Psychology,Cognitive psychology and psycholinguistics,2008,181.0
Psychology and social sciences,Psychology,Community psychology,2008,165.90491591203104
Psychology and social sciences,Psychology,Comparative psychology,2008,9.0
Psychology and social sciences,Psychology,Counseling,2008,422.0
Psychology and social sciences,Psychology,Developmental and child psychology,2008,197.0
Psychology and social sciences,Psychology,Educational psychology (psychology),2008,69.0
Psychology and social sciences,Psychology,Experimental psychology,2008,137.0
Psychology and social sciences,Psychology,Family psychology,2008,42.0
Psychology and social sciences,Psychology,"Health, medical psychology",2008,165.90491591203104
Psychology and social sciences,Psychology,Human development and family studies,2008,121.0
Psychology and social sciences,Psychology,Industrial and organizational psychology,2008,215.0
Psychology and social sciences,Psychology,"Marriage and family therapy, counseling",2008,165.90491591203104
Psychology and social sciences,Psychology,"Neuropsychology, physiological psychologyi",2008,81.0
Psychology and social sciences,Psychology,Personality psychology,2008,18.0
Psychology and social sciences,Psychology,Psychometrics and quantitative psychology,2008,23.0
Psychology and social sciences,Psychology,School psychology (psychology),2008,132.0
Psychology and social sciences,Psychology,Social psychology,2008,204.0
Psychology and social sciences,Psychology,"Psychology, general",2008,198.0
Psychology and social sciences,Psychology,"Psychology, other",2008,166.0
Psychology and social sciences,Psychology,Social sciences,2008,4278.0
Psychology and social sciences,Anthropology,"Anthropology, cultural",2008,165.90491591203104
Psychology and social sciences,Anthropology,"Anthropology, generalj",2008,483.0
Psychology and social sciences,Anthropology,"Anthropology, physical and biological",2008,165.90491591203104
Psychology and social sciences,Economics,Econometrics,2008,36.0
Psychology and social sciences,Economics,Natural resources and environmental economics (social sciences),2008,165.90491591203104
Psychology and social sciences,Economics,Other economics,2008,1055.0
Psychology and social sciences,Other social sciences,"American, U.S. studies",2008,121.0
Psychology and social sciences,Other social sciences,Applied linguistics,2008,165.90491591203104
Psychology and social sciences,Other social sciences,"Area, ethnic, cultural studiesk",2008,114.0
Psychology and social sciences,Other social sciences,Criminal justice and corrections,2008,74.0
Psychology and social sciences,Other social sciences,Criminology,2008,54.0
Psychology and social sciences,Other social sciences,Demography and population studies,2008,23.0
Psychology and social sciences,Other social sciences,Gender and women's studies,2008,165.90491591203104
Psychology and social sciences,Other social sciences,Geography,2008,249.0
Psychology and social sciences,Other social sciences,Gerontology (social sciences),2008,165.90491591203104
Psychology and social sciences,Other social sciences,Health policy analysis,2008,165.90491591203104
Psychology and social sciences,Other social sciences,"International relations, international affairs",2008,82.0
Psychology and social sciences,Other social sciences,Linguistics,2008,254.0
Psychology and social sciences,Other social sciences,Public policy analysis,2008,196.0
Psychology and social sciences,Other social sciences,Statistics (social sciences),2008,20.0
Psychology and social sciences,Other social sciences,"Urban, city, community and regional planning",2008,116.0
Psychology and social sciences,Other social sciences,"Urban studies, affairs",2008,28.0
Psychology and social sciences,Other social sciences,"Social sciences, general",2008,37.0
Psychology and social sciences,Other social sciences,"Social sciences, other",2008,107.0
Engineering,Other engineering,Agricultural engineering,2008,61.0
Engineering,Other engineering,Ceramic sciences engineering,2008,7.0
Engineering,Other engineering,Communications engineering,2008,26.0
Engineering,Other engineering,Computer engineering,2008,386.0
Engineering,Other engineering,"Engineering management, administration",2008,39.0
Engineering,Other engineering,Engineering mechanics,2008,60.0
Engineering,Other engineering,Engineering physics,2008,26.0
Engineering,Other engineering,Engineering science,2008,35.0
Engineering,Other engineering,"Environmental, environmental health engineeringl",2008,153.0
Engineering,Other engineering,Geotechnical and geoenvironmental engineering,2008,165.90491591203104
Engineering,Other engineering,Metallurgical engineering,2008,22.0
Engineering,Other engineering,Mining and mineral engineering,2008,13.0
Engineering,Other engineering,Nuclear engineering,2008,99.0
Engineering,Other engineering,Ocean engineering,2008,25.0
Engineering,Other engineering,Operations research (engineering),2008,80.0
Engineering,Other engineering,Petroleum engineering,2008,44.0
Engineering,Other engineering,"Polymer, plastics engineering",2008,49.0
Engineering,Other engineering,Robotics,2008,165.90491591203104
Engineering,Other engineering,Structural engineering,2008,165.90491591203104
Engineering,Other engineering,Systems engineering,2008,80.0
Engineering,Other engineering,Transportation and highway engineering,2008,165.90491591203104
Engineering,Other engineering,"Engineering, general",2008,43.0
Engineering,Other engineering,"Engineering, other",2008,116.0
Education,Education administration,Educational administration and supervision,2008,665.0
Education,Education administration,"Educational and human resource studies, development",2008,165.90491591203104
Education,Education administration,Educational leadership,2008,1573.0
Education,Education administration,Urban education and leadership,2008,165.90491591203104
Education,Education research,"Counseling education, counseling and guidance",2008,208.0
Education,Education research,Curriculum and instruction,2008,744.0
Education,Education research,Educational and instructional media design,2008,177.0
Education,Education research,Educational and instructional technology,2008,165.90491591203104
Education,Education research,"Educational assessment, testing, measurement",2008,73.0
Education,Education research,Educational policy analysis,2008,165.90491591203104
Education,Education research,Educational psychology (education),2008,306.0
Education,Education research,"Educational statistics, research methods",2008,66.0
Education,Education research,Higher education evaluation and research,2008,578.0
Education,Education research,International education,2008,165.90491591203104
Education,Education research,School psychology (education),2008,103.0
Education,Education research,Social and philosophical foundations of education,2008,122.0
Education,Education research,Special education,2008,263.0
Education,Teacher education,Adult and continuing teacher education,2008,118.0
Education,Teacher education,Elementary teacher education,2008,63.0
Education,Teacher education,"Pre-elementary, early childhood teacher education",2008,60.0
Education,Teacher education,Secondary teacher education,2008,33.0
Education,Teaching fields,Agricultural education,2008,33.0
Education,Teaching fields,Art education,2008,44.0
Education,Teaching fields,Bilingual and multilingual education,2008,165.90491591203104
Education,Teaching fields,Business education,2008,14.0
Education,Teaching fields,English as a second or foreign language,2008,165.90491591203104
Education,Teaching fields,English education,2008,71.0
Education,Teaching fields,"Family, consumer, and human sciences",2008,31.0
Education,Teaching fields,Foreign languages education,2008,68.0
Education,Teaching fields,Health education,2008,61.0
Education,Teaching fields,Literacy and reading educationm,2008,121.0
Education,Teaching fields,Mathematics education,2008,127.0
Education,Teaching fields,Music education,2008,76.0
Education,Teaching fields,Nursing education,2008,23.0
Education,Teaching fields,Physical education and coaching,2008,50.0
Education,Teaching fields,Science education,2008,94.0
Education,Teaching fields,Social science education,2008,22.0
Education,Teaching fields,"Teacher education and professional development, othern",2008,64.0
Education,Teaching fields,Trade and industrial education,2008,13.0
Education,Other education,Workforce education and development,2008,165.90491591203104
Education,Other education,"Education, general",2008,239.0
Education,Other education,"Education, other",2008,258.0
Humanities and arts,Foreign languages and literature,Arabic language and literature,2008,7.0
Humanities and arts,Foreign languages and literature,Chinese language and literature,2008,22.0
Humanities and arts,Foreign languages and literature,French language and literature,2008,120.0
Humanities and arts,Foreign languages and literature,Germanic language and literature,2008,80.0
Humanities and arts,Foreign languages and literature,Italian language and literature,2008,31.0
Humanities and arts,Foreign languages and literature,Japanese language and literature,2008,17.0
Humanities and arts,Foreign languages and literature,Latin American languages and literature,2008,165.90491591203104
Humanities and arts,Foreign languages and literature,Russian language and literature,2008,27.0
Humanities and arts,Foreign languages and literature,Slavic (other than Russian),2008,2.0
Humanities and arts,Foreign languages and literature,Spanish language and literature,2008,244.0
Humanities and arts,Foreign languages and literature,"Foreign languages and literatures, other",2008,77.0
Humanities and arts,History,African history,2008,22.0
Humanities and arts,History,"American history, United States and Canada",2008,384.0
Humanities and arts,History,Asian history,2008,74.0
Humanities and arts,History,European history,2008,196.0
Humanities and arts,History,"History, science and technology and society",2008,48.0
Humanities and arts,History,Latin American history,2008,62.0
Humanities and arts,History,"Middle, Near East history",2008,59.0
Humanities and arts,History,"History, general",2008,64.0
Humanities and arts,History,"History, other",2008,62.0
Humanities and arts,Letters,"American literature, United States and Canada",2008,338.0
Humanities and arts,Letters,Classics,2008,72.0
Humanities and arts,Letters,Comparative literature,2008,166.0
Humanities and arts,Letters,Creative writing,2008,73.0
Humanities and arts,Letters,English language,2008,156.0
Humanities and arts,Letters,"English literature, British and Commonwealth",2008,397.0
Humanities and arts,Letters,Folklore,2008,13.0
Humanities and arts,Letters,Rhetoric and composition,2008,165.90491591203104
Humanities and arts,Letters,Speech and rhetorical studies,2008,126.0
Humanities and arts,Letters,"Letters, general",2008,34.0
Humanities and arts,Letters,"Letters, other",2008,45.0
Humanities and arts,Other humanities and arts,Archaeology (humanities),2008,47.0
Humanities and arts,Other humanities and arts,"Art history, criticism, and conservation",2008,208.0
Humanities and arts,Other humanities and arts,"Bible, biblical studies",2008,79.0
Humanities and arts,Other humanities and arts,Dance,2008,165.90491591203104
Humanities and arts,Other humanities and arts,"Drama, theater arts",2008,83.0
Humanities and arts,Other humanities and arts,Ethics,2008,165.90491591203104
Humanities and arts,Other humanities and arts,"Film, cinema, video studies",2008,165.90491591203104
Humanities and arts,Other humanities and arts,"Jewish, Judaic studies",2008,165.90491591203104
Humanities and arts,Other humanities and arts,Music,2008,67.0
Humanities and arts,Other humanities and arts,Musicology and ethnomusicology,2008,106.0
Humanities and arts,Other humanities and arts,Music performance,2008,60.0
Humanities and arts,Other humanities and arts,Music theory and composition,2008,90.0
Humanities and arts,Other humanities and arts,"Music, other",2008,17.0
Humanities and arts,Other humanities and arts,Philosophy,2008,400.0
Humanities and arts,Other humanities and arts,"Religion, religious studies",2008,333.0
Humanities and arts,Other humanities and arts,"Theology, religious education",2008,138.0
Humanities and arts,Other humanities and arts,"Humanities, general",2008,14.0
Humanities and arts,Other humanities and arts,"Humanities, other",2008,76.0
Other,Business management and administration,Accounting,2008,140.0
Other,Business management and administration,Banking/financial services,2008,4.0
Other,Business management and administration,Business administration and management,2008,204.0
Other,Business management and administration,"Business, managerial economics",2008,18.0
Other,Business management and administration,Finance,2008,241.0
Other,Business management and administration,"Hospitality, food service and tourism management",2008,165.90491591203104
Other,Business management and administration,Human resources development,2008,65.0
Other,Business management and administration,"International business, trade, commerce",2008,31.0
Other,Business management and administration,"Management information systems, business statistics",2008,156.0
Other,Business management and administration,Marketing management and research,2008,190.0
Other,Business management and administration,Operations research (business),2008,78.0
Other,Business management and administration,Organizational behavior,2008,157.0
Other,Business management and administration,"Business management and administration, general",2008,60.0
Other,Business management and administration,"Business management and administration, other",2008,77.0
Other,Communication,Communication research,2008,104.0
Other,Communication,Communication theory,2008,32.0
Other,Communication,"Film, radio, TV and digital communication",2008,62.0
Other,Communication,"Mass communication, media studies",2008,175.0
Other,Communication,"Communication, general",2008,103.0
Other,Communication,"Communication, other",2008,81.0
Other,Non-S&E fields nec,Architecture and environmental design,2008,75.0
Other,Non-S&E fields nec,"Family, consumer sciences and human sciences",2008,58.0
Other,Non-S&E fields nec,Law,2008,88.0
Other,Non-S&E fields nec,Library science,2008,31.0
Other,Non-S&E fields nec,"Parks, sports, recreation, leisure and fitness",2008,76.0
Other,Non-S&E fields nec,Public administration,2008,114.0
Other,Non-S&E fields nec,Social work,2008,338.0
Other,Non-S&E fields nec,Other fields nec,2008,4.0
Life sciences,Agricultural sciences and natural resources,Agricultural economics,2009,116.0
Life sciences,Agricultural sciences and natural resources,Agricultural and horticultural plant breeding,2009,24.0
Life sciences,Agricultural sciences and natural resources,Agricultural animal breeding,2009,12.0
Life sciences,Agricultural sciences and natural resources,Agronomy and crop science,2009,77.0
Life sciences,Agricultural sciences and natural resources,Animal nutrition,2009,34.0
Life sciences,Agricultural sciences and natural resources,"Animal science, poultry or avian",2009,17.0
Life sciences,Agricultural sciences and natural resources,"Animal sciences, other",2009,74.0
Life sciences,Agricultural sciences and natural resources,Environmental science,2009,201.0
Life sciences,Agricultural sciences and natural resources,Fishing and fisheries sciences and management,2009,67.0
Life sciences,Agricultural sciences and natural resources,Food science,2009,110.0
Life sciences,Agricultural sciences and natural resources,"Food science and technology, other",2009,30.0
Life sciences,Agricultural sciences and natural resources,Forest sciences and biology,2009,43.0
Life sciences,Agricultural sciences and natural resources,"Forest management, forest resources management",2009,52.0
Life sciences,Agricultural sciences and natural resources,"Forestry, other",2009,26.0
Life sciences,Agricultural sciences and natural resources,Horticulture science,2009,55.0
Life sciences,Agricultural sciences and natural resources,Natural resource and environmental policy,2009,165.90491591203104
Life sciences,Agricultural sciences and natural resources,Natural resources and conservation,2009,84.0
Life sciences,Agricultural sciences and natural resources,Natural resources and environmental economics (agricultural sciences),2009,165.90491591203104
Life sciences,Agricultural sciences and natural resources,"Plant pathology and phytopathology, agricultural",2009,61.0
Life sciences,Agricultural sciences and natural resources,"Plant sciences, other",2009,60.0
Life sciences,Agricultural sciences and natural resources,"Soil chemistry, microbiology",2009,18.0
Life sciences,Agricultural sciences and natural resources,"Soil sciences, other",2009,49.0
Life sciences,Agricultural sciences and natural resources,"Wildlife, range management",2009,34.0
Life sciences,Agricultural sciences and natural resources,"Wood science, pulp and paper technology",2009,17.0
Life sciences,Agricultural sciences and natural resources,"Agricultural sciences and natural resources, generala",2009,8.0
Life sciences,Agricultural sciences and natural resources,"Agricultural sciences and natural resources, otherb",2009,14.0
Life sciences,Biological and biomedical sciences,Anatomy,2009,15.0
Life sciences,Biological and biomedical sciences,Bacteriology,2009,20.0
Life sciences,Biological and biomedical sciences,Biochemistry (biological sciences),2009,858.0
Life sciences,Biological and biomedical sciences,Bioinformatics,2009,175.0
Life sciences,Biological and biomedical sciences,Biomedical sciences,2009,300.0
Life sciences,Biological and biomedical sciences,Biometrics and biostatistics,2009,115.0
Life sciences,Biological and biomedical sciences,Biophysics (biological sciences),2009,195.0
Life sciences,Biological and biomedical sciences,Biotechnology,2009,26.0
Life sciences,Biological and biomedical sciences,Botany and plant biology,2009,113.0
Life sciences,Biological and biomedical sciences,Cancer biology,2009,273.0
Life sciences,Biological and biomedical sciences,"Cell, cellular biology, and histology",2009,354.0
Life sciences,Biological and biomedical sciences,Computational biology,2009,165.90491591203104
Life sciences,Biological and biomedical sciences,Developmental biology and embryology,2009,185.0
Life sciences,Biological and biomedical sciences,Ecology,2009,456.0
Life sciences,Biological and biomedical sciences,Endocrinology,2009,33.0
Life sciences,Biological and biomedical sciences,Entomology,2009,131.0
Life sciences,Biological and biomedical sciences,Environmental toxicologyc,2009,165.90491591203104
Life sciences,Biological and biomedical sciences,Epidemiology,2009,273.0
Life sciences,Biological and biomedical sciences,Evolutionary biology,2009,215.0
Life sciences,Biological and biomedical sciences,"Genetics, genomics, human and animal",2009,364.0
Life sciences,Biological and biomedical sciences,Immunology,2009,434.0
Life sciences,Biological and biomedical sciences,Microbiology,2009,586.0
Life sciences,Biological and biomedical sciences,Molecular biology,2009,763.0
Life sciences,Biological and biomedical sciences,Molecular medicine,2009,165.90491591203104
Life sciences,Biological and biomedical sciences,"Neurosciences, neurobiologye",2009,983.0
Life sciences,Biological and biomedical sciences,Nutrition sciences,2009,174.0
Life sciences,Biological and biomedical sciences,Parasitology,2009,24.0
Life sciences,Biological and biomedical sciences,"Pathology, human and animal",2009,106.0
Life sciences,Biological and biomedical sciences,"Pharmacology, human and animal",2009,343.0
Life sciences,Biological and biomedical sciences,"Physiology, human and animal",2009,244.0
Life sciences,Biological and biomedical sciences,Plant genetics,2009,48.0
Life sciences,Biological and biomedical sciences,Plant pathology and phytopathology (biological sciences),2009,26.0
Life sciences,Biological and biomedical sciences,Plant physiology,2009,13.0
Life sciences,Biological and biomedical sciences,Structural biology,2009,165.90491591203104
Life sciences,Biological and biomedical sciences,Toxicology,2009,120.0
Life sciences,Biological and biomedical sciences,Virology,2009,165.90491591203104
Life sciences,Biological and biomedical sciences,Wildlife biology,2009,165.90491591203104
Life sciences,Biological and biomedical sciences,Zoology,2009,79.0
Life sciences,Biological and biomedical sciences,"Biological and biomedical sciences, general",2009,173.0
Life sciences,Biological and biomedical sciences,"Biological and biomedical sciences, other",2009,81.0
Life sciences,Health sciences,Environmental health,2009,42.0
Life sciences,Health sciences,Environmental toxicologyc,2009,37.0
Life sciences,Health sciences,Gerontology (health sciences),2009,165.90491591203104
Life sciences,Health sciences,Health and behavior,2009,165.90491591203104
Life sciences,Health sciences,Health services research,2009,165.90491591203104
Life sciences,Health sciences,Health systems administration,2009,70.0
Life sciences,Health sciences,"Kinesiology, exercise sciencef",2009,211.0
Life sciences,Health sciences,"Medical physics, radiological science",2009,165.90491591203104
Life sciences,Health sciences,Nursing science,2009,511.0
Life sciences,Health sciences,"Oral biology, oral pathology",2009,165.90491591203104
Life sciences,Health sciences,Pharmaceutical sciencesg,2009,277.0
Life sciences,Health sciences,Public health,2009,299.0
Life sciences,Health sciences,"Rehabilitation, therapeutic services",2009,80.0
Life sciences,Health sciences,Speech-language pathology and audiology,2009,121.0
Life sciences,Health sciences,Veterinary sciences,2009,60.0
Life sciences,Health sciences,"Health sciences, general",2009,35.0
Life sciences,Health sciences,"Health sciences, other",2009,79.0
Life sciences,Chemistry,Analytical chemistry,2009,364.0
Life sciences,Chemistry,Chemical biology,2009,165.90491591203104
Life sciences,Chemistry,Inorganic chemistry,2009,331.0
Life sciences,Chemistry,Medicinal chemistryh,2009,165.90491591203104
